FBgn0033989	Q9V784
FBgn0033988	Q9V785
FBgn0010438	P54622
FBgn0020887	Q9NJG9
FBgn0033316	Q9V4W1
FBgn0033984	Q9V780
FBgn0010434	Q9V8R9
FBgn0001330	O46072
FBgn0033981	Q9V774
FBgn0010433	P48987
FBgn0033983	Q9V778
FBgn0033982	Q9V776
FBgn0037624	Q9I7K6
FBgn0020637	P92201
FBgn0033375	Q7JWW5
FBgn0265991	A1ZA47
FBgn0051721	M9MRI4
FBgn0027564	Q9Y123
FBgn0000179	Q24432
FBgn0027568	Q9VKY2
FBgn0026565	O97069
FBgn0000173	P35128
FBgn0036204	Q9VTN3
FBgn0033327	C0HK99
FBgn0014930	O76206
FBgn0039296	Q9VBV5
FBgn0000376	O76906
FBgn0000377	P17886
FBgn0002936	P15425
FBgn0002937	Q9VFS2
FBgn0002932	P29503
FBgn0002933	P23938
FBgn0002938	P10676
FBgn0019936	P55828
FBgn0004414	P23488
FBgn0001170	P10035
FBgn0013531	P91641
FBgn0085212	A8DYY5
FBgn0001179	Q02870
FBgn0011837	P47980
FBgn0033980	Q9V773
FBgn0263968	Q70PP2
FBgn0010323	P54366
FBgn0050291	Q95SK3
FBgn0033431	Q8MR45
FBgn0050295	Q9W2Q7
FBgn0015799	Q24472
FBgn0265630	A8JUV0
FBgn0010431	Q23973
FBgn0036118	Q9VTE0
FBgn0262166	Q7K5N4
FBgn0003997	Q24106
FBgn0020407	Q9VEX5
FBgn0027360	Q9W2D6
FBgn0040754	Q7JVR7
FBgn0037232	Q9VN03
FBgn0015558	Q9U6L4
FBgn0035537	Q9VZD2
FBgn0038248	Q9VFH6
FBgn0032873	Q9VIK9
FBgn0032693	Q9VJ71
FBgn0264695	P05661
FBgn0032879	Q9VIK2
FBgn0000448	P31396
FBgn0264691	Q9W328
FBgn0032050	Q9VLK2
FBgn0004898	P32029
FBgn0033058	Q4V622
FBgn0032054	Q9VLJ8
FBgn0032059	Q9VLJ0
FBgn0004893	Q9VQU9
FBgn0036570	Q95TS5
FBgn0004895	Q02360
FBgn0034537	Q7K3D8
FBgn0004897	P32028
FBgn0004896	Q02361
FBgn0053886	P02283
FBgn0053887	P84040
FBgn0053884	P02283
FBgn0053885	P84040
FBgn0053882	P02283
FBgn0053883	P84040
FBgn0053880	P02283
FBgn0053881	P84040
FBgn0003861	P19334
FBgn0003863	P04814
FBgn0003862	P20659
FBgn0003865	P54356
FBgn0053888	P02283
FBgn0053889	P84040
FBgn0031428	Q9VQC4
FBgn0026566	O97067
FBgn0035854	Q9VSF4
FBgn0053868	P02283
FBgn0053869	P84040
FBgn0005616	P50534
FBgn0005617	P50535
FBgn0005612	P40656
FBgn0025809	Q9VXP4
FBgn0053860	P02299
